text, label
백미밥,rice
팽이버섯미역국,soup
중국식오이무침,none
훈제오리,none
머스터드,none
군만두,none
배추김치,none
쇠고기채소죽,porridge
줄무늬감자튀김,none
치아바타샌드위치,bread
피크닉,processed
옥수수크림스프,soup
셀프불고기버거,bread
감자튀김,none
케첩,none
치즈스틱,none
오이피클,none
복숭아주스,processed
스팸마요덮밥,rice
두부된장국,soup
오이소박이,none
군만두,none
초간장,none
배추김치,none
파인애플바,fruit
백미밥,rice
들깨무채국,soup
모듬어묵조림,none
치즈불닭,none
배추김치,none
연두부,none
양념간장,none
두부된장국,soup
햄스크램블에그,none
차슈덮밥,rice
배추김치,none
단무지,none
요구르트,processed
백미밥,rice
닭개장,soup
수제소시지볶음,none
배추김치,none
요거트푸딩,processed
작은백미밥,rice
옥수수스프,soup
비타민샐러드,none
줄무늬감자튀김,none
티본스테이크,none
깍두기,none
백미밥,rice
얼큰쇠고기국,soup
파채무침,none
연두부,none
간장양념,none
바싹불고기,none
볶음김치,none
오복지양념밥,rice
우동국물,soup
해물볶음우동,none
플라워닭꼬지,none
깍두기,none
백미밥,rice
콩나물국,soup
건파래볶음,none
빨간까르보닭갈비,none
배추김치,none
키위푸딩,processed
백미밥,rice
쇠고기미역국,soup
삼색겨자채,none
연두부,none
양념장,none
돼지두루치기,none
깍두기,none
백미밥,rice
북어무국,soup
참치채소볶음,none
유린기,none
배추김치,none
도시락김,processed
백미밥,rice
어묵국,soup
돈등뼈김치찜,none
연두부,none
간장양념,none
명엽채볶음,none
깍두기,none
백미밥,rice
조랭이미역국,soup
소고기숙주볶음,none
미니돈까스,none
소스,none
볶음김치,none
나물비빔밥,none
약고추장,none
유부된장국,soup
못난이피자함박,bread
배추김치,none
오렌지,fruit
백미밥,rice
닭개장,soup
깻잎지무침,none
너비아니구이,none
머스터드,none
깍두기,none
백미밥,rice
김치국,soup
콩나물불고기,none
버터플라이새우,none
깍두기,none
짜먹는요거바,processed
유부초밥,none
우동국물,soup
불고기볶음우동,none
청파래오징어까스,none
타르소스,none
깍두기,none
단무지,none
스팸마요덮밥,rice
두부김치국,soup
치킨카레후라이드,none
화이트소스,none
깍두기,none
파인애플바,fruit
작은백미밥,rice
투움바파스타,noodle
유부장국,soup
양상추샐러드,none
오리엔탈드레싱,none
치즈미트파이,bread
깍두기,none
치밥,rice
치밥소스,rice
어묵우동,noodle
마카로니샐러드,none
단무지,none
요구르트,processed
백미밥,rice
짬뽕수제비,soup
과일샐러드,fruit
레몬깐쇼새우,none
배추김치,none
단무지,none
백미밥,rice
돼지국밥다대기,soup
부추겉절이,none
잡채전병초간장,none
석박지,none
백미밥,rice
무채국,soup
la갈비찜,none
알감자버터구이,none
배추김치,none
도시락김,processed
백미밥,rice
콩나물국,soup
돈등뼈김치찜,none
모듬햄볶음,none
깍두기,none
도시락김,processed
백미밥,rice
시금치된장국,soup
족발,none
맛살튀김,none
칠리소스,none
배추김치,none
쌈무,none
백미밥,rice
무채국,soup
꽈리고추계란장조림,none
돼지갈비찜,none
건파래볶음,none
배추김치,none
카레라이스,rice
우동국물,soup
에그햄까스,none
간장닭다리,none
배추김치,none
크림스프,soup
페스츄리샌드위치,bread
콘샐러드,none
체다치즈감자튀김,none
쿨피스,processed
백미밥,rice
근대된장국,soup
치즈불닭,none
햄감자채볶음,none
배추김치,none
연두부,none
양념간장,none
수제밥버거,bread
유부된장국,soup
숙주나물무침,none
미니돈까,none
케찹,none
깍두기,none
애플망고푸딩,processed
백미밥,rice
육개장,soup
돈육간장강정,none
건파래볶음,none
배추김치,none
삼색소보루덮밥,rice
매운우동국물,soup
까르보나라떡볶이,none
깍두기,none
푸딩,none
백미밥,rice
미역국,soup
돈등뼈김치찜,none
숙주나물무침,none
타코야끼,none
깍두기,none
백미밥,rice
두부새우젓국,soup
계란찜,none
파채무침,none
간장불고기,none
볶음김치,none
백미밥,rice
돼지국밥,soup
다대기,soup
부추겉절이,none
김치전,none
석박지,none
망고주스,processed
백미밥,rice
돼지국밥,soup
다대기,soup
부추겉절이,none
짬뽕군만두,none
석박지,none
요구르트,processed
백미밥,rice
부대찌개,soup
돈육강정,none
깍두기,none
파인애플바,fruit
도시락김,processed
백미밥,rice
근대된장국,soup
꽈리고추계란장조림,none
콩나물불고기,none
명엽채볶음,none
배추김치,none
오리고기김치볶음밥,rice
계란프라이,rice
어묵국,soup
회오리감자튀김,none
깍두기,none
혼합잡곡밥,rice
된장찌개,soup
깻잎지무침,none
뼈없는닭갈비,none
햄전,none
케찹,none
배추김치,none
혼합잡곡밥,rice
왕만두육개장,none
연근땅콩조림,none
소시지계란말이,none
케첩,none
알타리김치,none
떠먹는요거트,none
파래김,none
참기름장,none
전복죽,porridge
오징어젓무생채,none
메밀전병,none
회오리감자튀김,none
배추김치,none
쥬시쿨,processed
혼합잡곡밥,rice
쇠고기탕국,soup
꽁치캔김치조림,none
탕평채,soup
소떡소떡,rice_cake
백김치,none
작은백미밥,rice
유부우동국,soup
갈비구이,none
잎새만두찜,none
초간장,none
쫄면채소무침,noodle
단무지,none
혼합잡곡밥,rice
등뼈감자탕,soup
메추리알조림,none
납작만두,none
비빔야채,none
석박지,none
요거트푸딩,none
혼합잡곡밥,rice
동태매운탕,soup
미트볼조림,none
얼갈이상추겉절이,none
석박지,none
야채스틱파이,none
작은백미밥,rice
잔치국수,soup
열무김치,none
마시는요플레,none
셀프치킨또띠아,none
혼합잡곡밥,rice
들깨무채국,soup
시험뿌셔,none
온두부,none
양념장,none
숙주미나리나물,none
간장불고기,none
볶음김치,none
요구르트,none
카레라이스,rice
지코바식치킨,none
유부된장국,soup
양배추샐러드,none
케요네즈,none
배추김치,none
쥬시쿨,none
작은백미밥,rice
크림스프,soup
크루통,soup
양배추샐러드,none
케요네즈,none
콘샐러드,none
경양식돈가스,none
깍두기,none
혼합잡곡밥,rice
도토리묵냉국,soup
감자조림,none
마늘소스수육,none
미역줄기볶음,none
보쌈김치,none
혼합잡곡밥,rice
들깨시락국,soup
코다리조림,none
건파래볶음,none
치킨너겟,none
머스타드,none
배추김치,none
작은백미밥,rice
계란파국,soup
중화볶음우동,none
스윗고구마,none
케첩,none
배추김치,none
단무지,none
토망고,none
혼합잡곡밥,rice
북어콩나물국,soup
동인동쪽갈비,none
미역줄기볶음,none
동그랑땡전,none
케첩,none
배추김치,none
곤드레나물밥,rice
양념간장,rice
돈육순두부찌개,soup
계란장조림,none
핫도그,none
케찹,none
깍두기,none
장조림버터비빔밥,rice
두부된장국,soup
견과류멸치볶음,none
통안심닭꼬치,none
깍두기,none
작은백미밥,rice
옥수수스프,soup
양상추샐러드,none
레몬드레싱,none
수제돈까스,none
치즈함박스테이크,none
깍두기,none
쇠고기덮밥,rice
김치콩나물국,soup
상추얼갈이겉절이,none
미니돈까스,none
일식소스,none
깍두기,none
요구르트,processed
작은백미밥,rice
브로콜리스프,soup
미트스파게티,none
버터플라이새우,none
깍두기,none
오이피클,none
작은백미밥,rice
우동,none
그린샐러드,none
흑임자드레싱,none
등심돈까스),none
깍두기,none
오이피클,none
찹쌀팥밥,rice
바지락미역국,soup
중국식오이무침,soup
오리불고기,none
어묵잡채,none
배추김치,none
굴소스계란볶음밥,rice
유부된장국,soup
양상추샐러드,none
키위드레싱,none
목살스테이크,none
파인애플구이,fruit
깍두기,none
딸기라떼,none
오이피클,none
혼합잡곡밥,rice
된장찌개,soup
오향장육,none
물만두야채무침,none
배추김치,none
토마토꿀절임,none
혼합잡곡밥,rice
시금치된장국,soup
브로콜리숙회,none
초고추장,none
제육볶음,none
베이컨감자채볶음,none
알타리김치,none
작은백미밥,rice
잔치국수,soup
타코야끼,none
열무김치,none
떠먹는요거트,none
마파두부덮밥,rice
계란파국,soup
고추잡채,bread
꽃빵,bread
배추김치,none
단무지,none
혼합잡곡밥,rice
맑은감자국,soup
돈육두루치기,none
오절판,none
겨자소스,none
김말이튀김,none
깍두기,none
작은백미밥,rice
나가사키짬뽕,none
단무지무침,none
깐풍새우,none
배추김치,none
수제레몬주스,none
혼합잡곡밥,rice
김치콩나물국,soup
생깻잎지,none
소불고기,none
햄감자채볶음,none
알타리김치,none
쇠고기채소죽,porridge
토마토양상추샐러드,none
뉴욕식핫도그,none
맛감자튀김,none
사과주스,none
혼합잡곡밥,rice
감자국,soup
모듬장조림,none
새우살호박볶음,none
두부구이,none
양념장,none
배추김치,none
오리불고기볶음밥,rice
계란프라이,rice
냉모밀국수,soup
치커리사과무침,none
생선까스,none
탈탈소스,none
배추김치,none
백미밥,rice
장각삼계탕,soup
떡갈비,rice_cake
데리야끼,rice_cake
깍두기,none
오렌지,none
채소스틱,none
쌈장,none
혼합잡곡밥,rice
사골만두국,soup
제육볶음,none
알감자버터구이,none
알타리김치,none
양배추쌈,none
양념장,none
혼합잡곡밥,rice
만두국,soup
건파래볶음,none
어묵볶음,none
고등어구이,none
양념장,none
볶음김치,none
혼합잡곡밥,rice
바지락미역국,soup
어묵굴소스볶음,none
돈육장조림,none
콩나물파채무침,none
배추김치,none
작은백미밥,rice
자장면계란프라이,noodle
계란파국,soup
단무지무침,none
탕수육,soup
배추김치,none
두부된장국,soup
얇은피만두찜,none
초간장,none
차슈덮밥,rice
스크램블에그,none
배추김치,none
단무지,none
요구르트,none
곤드레나물밥,rice
양념장,rice
들깨무채국,soup
건파래볶음,none
핫도그,none
케찹,none
볶음김치,none
생바나나주스,none
혼합잡곡밥,rice
조랭이미역국,soup
콩나물냉채,none
훈제오리주물럭,none
알감자버터구이,none
배추김치,none
혼합잡곡밥,rice
맑은쇠고기국,soup
매운돼지갈비찜,none
애느타리버섯볶음,none
오미산적,none
배추김치,none
유과,none
혼합잡곡밥,rice
조랭이미역국,soup
족발,none
비빔막국수,soup
맛살튀김,none
칠리소스,none
배추김치,none
야채스프,soup
모듬감자튀김,none
꼬르동블루먹물햄버거,none
오렌지주스,none
요거트푸딩,none
혼합잡곡밥,rice
시금치된장국,soup
상추겉절이,none
뼈없는안동찜닭,none
오꼬노미야끼,none
배추김치,none
삼색소보루덮밥,rice
김치어묵국,soup
까르보나라떡볶이,rice_cake
깍두기,none
토마토,none
차수수밥,rice
등뼈감자탕,soup
비엔나케찹볶음,none
탕평채,soup
아삭이고추된장무침,none
석박지,none
팽이버섯된장국,soup
콩나물무침,none
주꾸미돈육덮밥,rice
통새우군만두,none
초간장,none
김말이튀김,none
배추김치,none
작은백미밥,rice
팽이버섯된장국,soup
쫄면,noodle
지파이,none
배추김치,none
단무지,none
오렌지,none
혼합잡곡밥,rice
들깨무채국,soup
이바디등뼈찜,none
숙주미나리나물,none
계란두부구이,none
양념간장,none
두부구이,none
볶음김치,none
혼합잡곡밥,rice
북어채콩나물국,soup
갈비산적조림,none
코다리무조림,none
볶음김치,none
연두부,none
양념장,none
수박,none
굴소스계란볶음밥,rice
순대,none
양파&막장,none
김치말이냉국수,soup
떡볶이,rice_cake
열무김치,none
팽이버섯된장국,soup
소시지프리타타,none
주꾸미돈육덮밥,rice
김가루,rice
배추김치,none
독도빵,bread
매운우동국물,soup
투움바파스타,noodle
조각피자,none
깍두기,none
수제채소피클,none
혼합잡곡밥,rice
버섯호박찌개,soup
부들어묵조림,none
다시마채무침,none
안동찜닭,none
알타리김치,none
혼합잡곡밥,rice
북어콩나물국,soup
계란장조림,none
돈육두루치기,none
열무김치,none
양배추쌈,none
양념장,none
혼합잡곡밥,rice
들깨시락국,soup
도토리묵,none
양념장,none
묵은지닭조림,none
알타리김치,none
명란김,none
카레라이스,rice
유부된장국,soup
자메이카치킨,none
알타리김치,none
카프레제샐러드,none
추억의도시락,none
꼬지어묵국,soup
군만두,none
요구르트,none
작은백미밥,rice
양송이스프,soup
스위트포테이토링,none
케첩,none
티본스테이크,none
깍두기,none
수능케이크,bread
혼합잡곡밥,rice
들깨시락국,soup
다시마채무침,none
소불고기,none
완자칠리소스조림,none
볶음김치,none
혼합잡곡밥,rice
감자수제비국,soup
도토리묵,none
양념간장,none
사각어묵볶음,none
훈제오리,none
머스타드,none
배추김치,none
혼합잡곡밥,rice
김치콩나물국,soup
생깻잎지,none
소불고기,none
완자전,none
케첩,none
석박지,none
혼합잡곡밥,rice
돈육김치찌개,soup
소시지프리타타,none
가지나물,none
모듬어묵볶음,none
알타리김치,none
굴소스계란볶음밥,rice
미트스파게티,none
유부된장국,soup
폭립,none
양상추샐러드,none
키위드레싱,none
웨지감자튀김,none
깍두기,none
혼합잡곡밥,rice
쇠고기미역국,soup
아귀순살강정,none
돈채숙주볶음,none
배추김치,none
메론,none
파인애플볶음밥,rice
쌀국수,soup
단무지무침,none
야채춘권,none
칠리소스,none
배추김치,none
혼합잡곡밥,rice
쫄면야채무침,noodle
매콤콩나물국,soup
치킨까스,none
소스,none
깍두기,none
백미밥,rice
순대돼지국밥,soup
소시지야채볶음,none
부추생채,none
섞박지,none
발아현미밥,rice
햄부대찌개,soup
메추리알곤약조림,none
가자미구이,none
깍두기,none
백미밥,rice
하이라이스소스,rice
새우튀김샐러드,none
어묵조림,none
깍두기,none
맑은콩나물국,soup
제육덮밥,rice
청초부추전,none
배추김치,none
발아현미밥,rice
돈육고추장찌개,soup
감자샐러드,none
등심돈강정,none
양파초절임,none
깍두기,none
발아현미밥,rice
동태매운탕,soup
삼색계란찜,none
파채불고기,none
배추김치,none
혼합잡곡밥,rice
나가사키짬뽕국,soup
숙주당근나물,none
핫깐풍칠리새우,none
깍두기,none
불고기덮밥,rice
팽이된장국,soup
치커리사과생채,none
김치전,none
깍두기,none
투움바파스타,noodle
그린샐러드,none
키위D,none
케이준깔조네,none
사과주스,processed
오이피클,none
김치필라프,none
콤비네이션피자,none
쪽파계란국,soup
깍두기,none
플레인요거트,none
수제오므라이스,rice
유부일식장국,soup
갈떡갈떡,rice_cake
깍두기,none
옥수수스프,soup
토마토스파게티,none
일식양배추샐러드,none
뱅글핫도그,none
케찹,none
깍두기,none
보리밥,rice
쪽파계란국,soup
감자채볶음,none
김치닭볶음,none
깍두기,none
백미밥,rice
맑은콩나물국,soup
마파두부,none
유린기,none
깍두기,none
발아현미밥,rice
나가사키짬뽕국,soup
오이양파무침,none
탕수육,none
깍두기,none
발아현미밥,rice
유부일식장국,soup
감자고로케,none
매콤바싹불고기,none
어니언드레싱,none
배추김치,none
백미밥,rice
단무지무침,none
알감자버터구이,none
짬뽕만두,none
자장소스,none
백미밥-소,rice
닭갈비볶음우동,none
핫도그,none
깍두기,none
스위티자몽주스,processed
혼합잡곡밥,rice
순두부찌개,soup
도토리묵무침,none
오리채소구이,none
배추김치,none
혼합잡곡밥,rice
육개장,none
소시지메추리알볶음,none
새송이버섯볶음,none
깍두기,none
참치새싹비빔밥,rice
곤약어묵국,soup
배추김치,none
플레인요거트,none
닭꼬치튀김,none
발아현미밥,rice
종합어묵국,soup
떡볶이,none
순대,none
막장,none
단무지,none
발아현미밥,rice
고기만두국,soup
취나물무침,none
돈육김치볶음,none
깍두기,none
맑은콩나물국,soup
불고기생야채비빔밥,rice
새송이버섯볶음,none
배추김치,none
회오리감자튀김,none
보리밥,rice
등뼈감자탕,soup
오이양파무침,none
소떡소떡꼬지,none
섞박지,none
보리밥,rice
버섯떡불고기,none
순두부찌개,soup
오이양파무침,none
깍두기,none
혼합잡곡밥,rice
햄부대찌개,soup
스크램블에그,none
새우까스,none
깍두기,none
보리밥,rice
곤약탕국,soup
감자채볶음,none
오리불고기,none
깍두기,none
백미밥,rice
카레소스,none
그린샐러드,none
키위D,none
콘치즈함박구이,none
배추김치,none
발아현미밥,rice
동태매운탕,soup
봉추찜닭,none
숙주당근나물,none
깍두기,none
스테프핫도그,none
웨지감자,none
케찹,none
우유,processed
시리얼,none
오이피클,none
참치새싹비빔밥,rice
유부일식장국,soup
콘크러스트피자,none
배추김치,none
발아현미밥,rice
왕만두국,soup
메추리알곤약조림,none
햄구이,none
케첩,none
깍두기,none
발아현미밥,rice
오징어짬뽕국-하,soup
도토리묵무침,none
어니언새우,none
깍두기,none
김치볶음밥,rice
쪽파계란국,soup
셀프너비아니또띠아,none
깍두기,none
발아현미밥,rice
떡국,soup
삼색계란찜,none
돈육김치볶음,none
깍두기,none
보리밥,rice
맑은동태탕,soup
콩나물불고기,none
간장어묵조림,none
깍두기,none
기장밥,rice
소고기우거지국,soup
닭데리야끼구이,none
충무식오징어어묵무침,none
배추김치,none
무조미김,processed
치킨버거,bread
감자튀김,none
케찹,none
우유,processed
시리얼,none
오이피클,none
발아현미밥,rice
콩나물무침,none
돈등뼈사태김치찜,none
백순대볶음,none
소스,none
깍두기,none
북어무국,soup
오이양파무침,none
버터새우소시지구이,none
고추잡채덮밥,rice
배추김치,none
백미밥,rice
크림새우,none
고기짬뽕면,noodle
오이양파무침,none
깍두기,none
기장밥,rice
두부된장국,soup
일미간장조림,none
치킨텐더,none
양파초절임,none
깍두기,none
기장밥,rice
나가사키짬뽕국,soup
파프리카새송이버섯볶음,none
핫깐풍칠리새우,none
깍두기,none
발아현미밥,rice
춘천막국수,noodle
팽이된장국,soup
돈육알사태수육,none
배추김치,none
발아현미밥,rice
육개장,soup
돈육김치두부구이,none
동그랑땡전,none
깍두기,none
혼합잡곡밥,rice
나가사키짬뽕국,soup
참나물무침,none
유린기,none
배추김치,none
검정쌀밥,rice
매콤소고기무국,soup
그린샐러드,none
파인애플,fruit
고추마요치킨,none
깍두기,none
보리밥,rice
곤약탕국,soup
봉추찜닭,none
콩나물무침,none
깍두기,none
맛김,processed
발아현미밥,rice
참치김치찌개,soup
새송이버섯볶음,none
빅언양식불고기,none
파채무침,none
깍두기,none
백미밥,rice
매콤콩나물국,soup
실곤약초무침,none
카레닭볶음탕,none
배추김치,none
발아현미밥,rice
오징어짬뽕국-하,soup
오이양파무침,none
탕수육,none
깍두기,none
혼합잡곡밥,rice
매콤소고기무국,soup
해물볶음우동-대,noodle
감자고로케,none
배추김치,none
김가루밥,rice
가쓰오장국,soup
떡볶이,rice_cake
야채튀김,none
단무지,none
백미밥-소,rice
해물볶음우동-대,noodle
쥬시쿨,processed
단무지,none
타코야끼,none
백미밥,rice
닭다리백숙,soup
미트볼야채볶음,none
치커리사과생채,none
배추김치,none
백미밥-소,rice
마라탕,soup
오이양파무침,none
한입꿔바로우탕수육,none
단무지,none
혼합잡곡밥,rice
육개장,soup
감자채볶음,none
찐만두,none
깍두기,none
백미밥,rice
옥수수스프,soup
감자튀김,processed
케찹,processed
함박에그스테이크,none
깍두기,none
오리훈제볶음밥,rice
가쓰오장국,soup
그린샐러드,none
깍두기,none
닭꼬치튀김,none
백미밥-소,rice
잔치국수,soup
언양식불고기,none
파채무침,none
감자조림,none
배추김치,none
햄부대찌개,soup
치커리토마토무침,none
멘보샤,none
칠리소스,none
간장계란밥,rice
깍두기,none
백미밥,rice
돼지고기국수,noodle
김말이만두강정,none
배추김치,none
백미밥-소,rice
탄탄멘,noodle
단무지,none
굴림만두,none
발아현미밥,rice
푸실리샐러드,none
돈육고추장찌개,soup
탕수육,none
배추김치,none
맑은아귀탕,soup
미니떡갈비조림,none
참치마요덮밥,rice
깍두기,none
사과주스,processed
숯불양념치밥,rice
가쓰오장국,soup
탕수만두,none
깍두기,none
발아현미밥,rice
순두부찌개,soup
숙주당근나물,none
매콤함박스테이크,none
웨지감자,none
깍두기,none
기장밥,rice
시금치된장국,soup
삼색계란찜,none
돈사태김치찜,none
깍두기,none
돈육간장불고기,none
백미밥-소,rice
비비바락국수,soup
맑은콩나물국,soup
배추김치,none
기장밥,rice
간장등뼈찜,none
상큼과일샐러드,none
생선까스,none
깍두기,none
발아현미밥,rice
떡국,soup
애호박버섯볶음,none
오리불고기,none
배추김치,none
백미밥,rice
소머리국밥,none
소면,soup
고등어무조림,none
부추생채,none
섞박지,none
혼합잡곡밥,rice
왕만두국,soup
감자채볶음,none
콩나물불고기,none
배추김치,none
비빔김밥,rice
가쓰오장국,soup
떡볶이,none
고구마치즈볼,none
배추김치,none
발아현미밥,rice
닭곰탕,soup
삼색계란찜,none
제육볶음,none
배추김치,none
발아현미밥,rice
북어콩나물국,soup
시금치나물,none
순살닭고구마조림,none
배추김치,none
삼색나물비빔밥,rice
약고추장,rice
두부된장국,soup
오리불고기,none
배추김치,none
초코수리취떡,rice_cake
떡갈비버거,bread
김치우동,noodle
어니언링,none
케찹,none
단무지,none
불고기덮밥,rice
쫄면야채무침,none
만두,none
쑥냉이된장국,soup
배추김치,none
백미밥,rice
초계국수,noodle
두가지맛왕만두,none
도토리묵무침,none
배추김치,none
발아현미밥,rice
쫄면야채무침,noodle
김치콩나물국,soup
고구마치즈돈까스,none
소스,none
깍두기,none
발아현미밥,rice
떡국,soup
크래미샐러드,none
깐풍기,none
깍두기,none
팽이된장국,soup
그린샐러드,none
파인애플,fruit
김말이만두강정,none
통붕장어덮밥,rice
배추김치,none
돈육고추장찌개,soup
닭꼬들목살덮밥,rice
배추김치,none
회오리감자튀김,none
백미밥,rice
순대돼지국밥,soup
부추생채,none
참치김치두부구이,none
섞박지,none
두부미역장국,soup
고등어무조림,none
시금치나물,none
치킨마요,none
깍두기,none
백미밥,rice
닭곰탕,soup
너비아니,none
부추생채,none
감자조림,none
배추김치,none
크림스프,soup
함박스파게티,none
그린샐러드,none
참깨D,none
케이준깔조네,none
오이피클,none
검정쌀밥,rice
땡초시락국,soup
메추리알곤약조림,none
훈제오리,none
모듬야채,none
봄동무침,none
보리밥,rice
돈육고추장찌개,soup
환어묵볶음,none
오리채소구이,none
배추김치,none
보리밥,rice
따뜻한묵사발,none
치즈불닭구이,none
고구마맛탕,none
배추김치,none
보리밥,rice
두부된장국,soup
콩나물파절이,none
삼겹살고추장구이,none
배추김치,none
버섯떡불고기,none
버섯콩나물밥,rice
달래양념장,rice
강된장찌개,soup
무생채,none
배추김치,none
피칸파이,bread
백미밥-소,rice
냉메밀소바,noodle
떡볶이,none
등심돈까스,none
깍두기,none
발아현미밥,rice
등뼈감자탕,soup
콩나물무침,none
찐만두,none
배추김치,none
혼합잡곡밥,rice
소고기미역국,soup
실곤약초무침,none
오리채소구이,none
배추김치,none
뻥이요,processed
보리밥,rice
맑은소고기무국,soup
감자샐러드,none
탄두리치킨,none
배추김치,none
혼합잡곡밥,rice
소고기미역국,soup
돼지갈비찜,none
애호박버섯볶음,none
배추김치,none
미니소시지빵,bread
오리훈제볶음밥,rice
감자수제비국,soup
환어묵볶음,none
멘보샤,none
칠리소스,none
배추김치,none
기장밥,rice
맑은굴림만두전골,soup
오이양파무침,none
제육볶음,none
배추김치,none
보리밥,rice
북어무국,soup
코울슬로,none
치즈불닭구이,none
또띠아,none
배추김치,none
검정쌀밥,rice
두부미역장국,soup
돼지갈비찜,none
고구마맛탕,none
배추김치,none
보리밥,rice
땡초시락국,soup
닭데리야끼구이,none
충무식오징어어묵무침,none
섞박지,none
무조미김,processed
혼합잡곡밥,rice
소고기미역국,soup
숙주당근나물,none
김치오리볶음,none
깍두기,none
떡또아,processed
계란야채볶음밥,rice
쌀국수,noodle
탕수만두,soup
배추김치,none
찜닭덮밥,rice
단배추된장국,soup
콘크러스트피자,bread
깍두기,none
혼합잡곡밥,rice
소고기우거지국,soup
마늘쫑무침,none
훈제한방족살,none
모듬야채,none
배추김치,none
백미밥,rice
게살계란탕,soup
치커리사과생채,none
마파두부,none
탕수육,none
배추김치,none
혼합잡곡밥,rice
북어무국,soup
오리불고기,none
청초부추전,none
배추김치,none
백미밥,rice
하이라이스소스,none
닭가슴살퀘사디아,none
그린샐러드,none
참깨D,none
배추김치,none
백미밥-소,rice
잔치국수,soup
간장어묵조림,none
볼카츠샐러드,none
배추김치,none
백미밥,rice
닭다리백숙,soup
고메함박샐러드,none
깍두기,none
기장밥,rice
두부된장국,soup
콩나물파절이,none
마늘삼겹살구이,none
배추김치,none
발아현미밥,rice
순두부짬뽕국,soup
돈육부추볶음,none
감자조림,none
배추김치,none
발아현미밥,rice
꽃게탕,soup
순살닭고구마조림,none
하트연근전,none
배추김치,none
발아현미밥,rice
샐러드파스타,noodle
돈육김치찌개,soup
생선튀김,none
깍두기,none
혼합잡곡밥,rice
맑은동태탕,soup
상추깻잎겉절이,none
김치오리볶음,none
깍두기,none
보리밥,rice
두부미역장국,soup
치커리토마토무침,none
돈사태김치찜,none
깍두기,none
삼색나물비빔밥,rice
약고추장,rice
전주식콩나물국,soup
한방돼지갈비찜,none
도토리묵무침,none
배추김치,none
백미밥,rice
카레소스,none
